,awayline,awayodds,awayteam,crowd,date,day,gameID,homeline,homeodds,hometeam,round,time,venue,year
1300,39.5,6.3,Gold Coast,8022,1/4/17,Saturday,9319,-39.5,1.13,GWS,2,4:35PM,Spotless Stadium,2017
1301,-15.5,1.43,Essendon,21749,1/4/17,Saturday,9320,15.5,2.9,Brisbane,2,6:25PM,Gabba,2017
1302,39.5,5.3,St Kilda,37749,1/4/17,Saturday,9321,-39.5,1.17,West Coast,2,4:40PM,Domain Stadium,2017
1303,33.5,5.3,North Melbourne,30917,2/4/17,Sunday,9322,-33.5,1.16,Geelong,2,1:10PM,Etihad Stadium,2017
1304,25.5,4,Carlton,46727,2/4/17,Sunday,9323,-25.5,1.25,Melbourne,2,3:20PM,MCG,2017
1305,27.5,4.25,Fremantle,38388,2/4/17,Sunday,9324,-27.5,1.23,Port Adelaide,2,4:10PM,Adelaide Oval,2017
1306,13.5,2.88,Collingwood,35310,7/4/17,Friday,9325,-13.5,1.44,Sydney,3,7:50PM,SCG,2017
1307,-29.5,1.23,GWS,8758,8/4/17,Saturday,9326,29.5,4.3,North Melbourne,3,1:45PM,Blundstone Arena,2017
1308,-12.5,1.54,West Coast,42523,8/4/17,Saturday,9327,12.5,2.55,Richmond,3,2:10PM,MCG,2017
1309,16.5,3,Melbourne,29733,8/4/17,Saturday,9328,-16.5,1.4,Geelong,3,4:35PM,Etihad Stadium,2017
1310,-6.5,1.65,Adelaide,53698,8/4/17,Saturday,9329,6.5,2.3,Port Adelaide,3,7:10PM,Adelaide Oval,2017
1311,-32.5,1.2,Western Bulldogs,28865,8/4/17,Saturday,9330,32.5,4.75,Fremantle,3,5:40PM,Domain Stadium,2017
1312,36.5,5.75,Brisbane,23097,9/4/17,Sunday,9331,-36.5,1.15,St Kilda,3,1:10PM,Etihad Stadium,2017
1313,-18.5,1.37,Essendon,48022,9/4/17,Sunday,9332,18.5,3.2,Carlton,3,3:20PM,MCG,2017
1314,-17.5,1.4,Hawthorn,14728,9/4/17,Sunday,9333,17.5,3.04,Gold Coast,3,4:40PM,Metricon Stadium,2017
1315,21.5,3.25,Sydney,38065,13/4/17,Thursday,9334,-21.5,1.35,West Coast,4,6:10PM,Domain Stadium,2017
1316,-23.5,1.29,Western Bulldogs,42814,14/4/17,Friday,9335,23.5,3.75,North Melbourne,4,4:20PM,Etihad Stadium,2017
1317,21.5,3.1,Fremantle,27829,15/4/17,Saturday,9336,-21.5,1.39,Melbourne,4,1:45PM,MCG,2017
1318,18.5,3.1,Port Adelaide,9185,15/4/17,Saturday,9337,-18.5,1.39,GWS,4,4:35PM,Manuka Oval,2017
1319,-4.5,1.74,Gold Coast,24968,15/4/17,Saturday,9338,4.5,2.1,Carlton,4,7:25PM,Etihad Stadium,2017
1320,37.5,5.5,Essendon,47492,15/4/17,Saturday,9339,-37.5,1.16,Adelaide,4,7:10PM,Adelaide Oval,2017
1321,10.5,2.4,St Kilda,36650,16/4/17,Sunday,9340,-10.5,1.6,Collingwood,4,3:20PM,Etihad Stadium,2017
1322,-19.5,1.35,Richmond,21669,16/4/17,Sunday,9341,19.5,3.3,Brisbane,4,4:40PM,Gabba,2017
1323,-15.5,1.42,Geelong,62360,17/4/17,Monday,9342,15.5,2.95,Hawthorn,4,3:20PM,MCG,2017
1324,49.5,9,Carlton,43120,21/4/17,Friday,9343,-49.5,1.07,Port Adelaide,5,7:20PM,Adelaide Oval,2017
1325,57.5,11,Brisbane,31822,22/4/17,Saturday,9344,-57.5,1.05,Western Bulldogs,5,1:45PM,Etihad Stadium,2017
1326,-28.5,1.23,Adelaide,12672,22/4/17,Saturday,9345,28.5,4.3,Gold Coast,5,4:35PM,Metricon Stadium,2017
1327,-13.5,1.5,GWS,34824,22/4/17,Saturday,9346,13.5,2.65,Sydney,5,7:25PM,SCG,2017
1328,9.5,2.4,North Melbourne,33319,22/4/17,Saturday,9347,-9.5,1.6,Fremantle,5,5:40PM,Domain Stadium,2017
1329,-12.5,1.52,Geelong,33884,23/4/17,Sunday,9348,12.5,2.6,St Kilda,5,3:20PM,Etihad Stadium,2017
1330,-14.5,1.46,West Coast,28997,23/4/17,Sunday,9349,14.5,2.8,Hawthorn,5,4:40PM,MCG,2017
1331,5.5,2.25,Melbourne,85657,24/4/17,Monday,9350,-5.5,1.67,Richmond,5,7:25PM,MCG,2017
1332,-11.5,1.57,Collingwood,87685,25/4/17,Tuesday,9351,11.5,2.45,Essendon,5,3:20PM,MCG,2017
1333,24.5,3.6,Western Bulldogs,14048,28/4/17,Friday,9352,-24.5,1.31,GWS,6,7:50PM,Manuka Oval,2017
1334,1.5,2,St Kilda,15571,29/4/17,Saturday,9353,-1.5,1.85,Hawthorn,6,1:45PM,UTAS Stadium,2017
1335,-21.5,1.28,Sydney,32678,29/4/17,Saturday,9354,21.5,3.85,Carlton,6,2:10PM,MCG,2017
1336,-40.5,1.16,Port Adelaide,13638,29/4/17,Saturday,9355,40.5,5.5,Brisbane,6,4:35PM,Gabba,2017
1337,14.5,2.72,Gold Coast,15431,29/4/17,Saturday,9356,-14.5,1.47,North Melbourne,6,7:25PM,Etihad Stadium,2017
1338,27.5,3.3,Fremantle,40836,29/4/17,Saturday,9357,-27.5,1.35,West Coast,6,6:10PM,Domain Stadium,2017
1339,-0.5,1.89,Melbourne,44040,30/4/17,Sunday,9358,0.5,1.95,Essendon,6,1:10PM,Etihad Stadium,2017
1340,26.5,4,Collingwood,46457,30/4/17,Sunday,9359,-26.5,1.26,Geelong,6,3:20PM,MCG,2017
1341,38.5,5.3,Richmond,51069,30/4/17,Sunday,9360,-38.5,1.17,Adelaide,6,4:10PM,Adelaide Oval,2017
1342,-14.5,1.42,GWS,21160,5/5/17,Friday,9361,14.5,2.9,St Kilda,7,7:50PM,Etihad Stadium,2017
1343,-37.5,1.13,Adelaide,10064,6/5/17,Saturday,9362,37.5,6.05,North Melbourne,7,1:45PM,Blundstone Arena,2017
1344,19.5,3.2,Carlton,70279,6/5/17,Saturday,9363,-19.5,1.35,Collingwood,7,2:10PM,MCG,2017
1345,19.5,3.3,West Coast,38333,6/5/17,Saturday,9364,-19.5,1.34,Port Adelaide,7,4:35PM,Adelaide Oval,2017
1346,-20.5,1.29,Geelong,13648,6/5/17,Saturday,9365,20.5,3.65,Gold Coast,7,7:25PM,Metricon Stadium,2017
1347,18.5,3.4,Richmond,46387,6/5/17,Saturday,9366,-18.5,1.32,Western Bulldogs,7,7:25PM,Etihad Stadium,2017
1348,40.5,5.75,Brisbane,25619,7/5/17,Sunday,9367,-40.5,1.14,Sydney,7,1:10PM,SCG,2017
1349,14.5,2.75,Hawthorn,38693,7/5/17,Sunday,9368,-14.5,1.46,Melbourne,7,3:20PM,MCG,2017
1350,12.5,2.62,Essendon,33393,7/5/17,Sunday,9369,-12.5,1.5,Fremantle,7,2:40PM,Domain Stadium,2017
1351,17.5,2.75,Western Bulldogs,38934,12/5/17,Friday,9370,-17.5,1.47,West Coast,8,6:10PM,Domain Stadium,2017
1352,47.5,6.4,Brisbane,10553,13/5/17,Saturday,9371,-47.5,1.13,Hawthorn,8,1:45PM,UTAS Stadium,2017
1353,23.5,3.5,Carlton,38014,13/5/17,Saturday,9372,-23.5,1.32,St Kilda,8,2:10PM,Etihad Stadium,2017
1354,32.5,4.4,Collingwood,11360,13/5/17,Saturday,9373,-32.5,1.23,GWS,8,4:35PM,Spotless Stadium,2017
1355,-27.5,1.34,Geelong,57172,13/5/17,Saturday,9374,27.5,3.4,Essendon,8,7:25PM,MCG,2017
1356,40.5,6.05,Melbourne,47882,13/5/17,Saturday,9375,-40.5,1.14,Adelaide,8,7:10PM,Adelaide Oval,2017
1357,16.5,3.05,Fremantle,31200,14/5/17,Sunday,9376,-16.5,1.4,Richmond,8,1:10PM,MCG,2017
1358,6.5,2.15,Sydney,21589,14/5/17,Sunday,9377,-6.5,1.73,North Melbourne,8,4:40PM,Etihad Stadium,2017
1359,-27.5,1.28,Port Adelaide,10118,14/5/17,Sunday,9378,27.5,3.8,Gold Coast,8,3:20PM,Jiangwan Stadium,2017
1360,-2.5,1.83,Western Bulldogs,30275,19/5/17,Friday,9379,2.5,2,Geelong,9,7:50PM,Simonds Stadium,2017
1361,-1.5,1.9,Sydney,29778,20/5/17,Saturday,9380,1.5,1.94,St Kilda,9,1:45PM,Etihad Stadium,2017
1362,32.5,4.1,Richmond,10677,20/5/17,Saturday,9381,-32.5,1.25,GWS,9,4:35PM,Spotless Stadium,2017
1363,-61.5,1.07,Adelaide,13802,20/5/17,Saturday,9382,61.5,9,Brisbane,9,7:25PM,Gabba,2017
1364,16.5,2.65,Hawthorn,54252,20/5/17,Saturday,9383,-16.5,1.5,Collingwood,9,7:25PM,MCG,2017
1365,-10.5,1.57,West Coast,36403,21/5/17,Sunday,9384,10.5,2.45,Essendon,9,1:10PM,Etihad Stadium,2017
1366,10.5,2.45,North Melbourne,33218,21/5/17,Sunday,9385,-10.5,1.57,Melbourne,9,3:20PM,MCG,2017
1367,22.5,3.28,Carlton,30313,21/5/17,Sunday,9386,-22.5,1.35,Fremantle,9,2:40PM,Domain Stadium,2017
1368,4.5,2.15,Port Adelaide,24909,25/5/17,Thursday,9387,-4.5,1.73,Geelong,10,7:20PM,Simonds Stadium,2017
1369,40.5,5.35,Hawthorn,36221,26/5/17,Friday,9388,-40.5,1.17,Sydney,10,7:50PM,SCG,2017
1370,15.5,2.72,St Kilda,34685,27/5/17,Saturday,9389,-15.5,1.48,Western Bulldogs,10,1:45PM,Etihad Stadium,2017
1371,21.5,3.15,Gold Coast,5072,27/5/17,Saturday,9390,-21.5,1.38,Melbourne,10,4:35PM,TIO Traegar Park,2017
1372,3.5,2.05,Essendon,85656,27/5/17,Saturday,9391,-3.5,1.8,Richmond,10,7:25PM,MCG,2017
1373,41.5,5.25,Fremantle,42415,27/5/17,Saturday,9392,-41.5,1.17,Adelaide,10,7:10PM,Adelaide Oval,2017
1374,51.5,8.5,Brisbane,32750,28/5/17,Sunday,9393,-51.5,1.08,Collingwood,10,1:10PM,MCG,2017
1375,-24.5,1.33,North Melbourne,32802,28/5/17,Sunday,9394,24.5,3.44,Carlton,10,3:20PM,Etihad Stadium,2017
1376,12.5,2.57,GWS,37057,28/5/17,Sunday,9395,-12.5,1.53,West Coast,10,2:40PM,Domain Stadium,2017
1377,34.5,4.65,Hawthorn,37910,1/6/17,Thursday,9396,-34.5,1.2,Port Adelaide,11,7:20PM,Adelaide Oval,2017
1378,-4.5,1.74,Adelaide,30468,2/6/17,Friday,9397,4.5,2.1,Geelong,11,7:50PM,Simonds Stadium,2017
1379,-7.5,1.6,West Coast,11402,3/6/17,Saturday,9398,7.5,2.35,Gold Coast,11,1:45PM,Metricon Stadium,2017
1380,29.5,4,Essendon,13671,3/6/17,Saturday,9399,-29.5,1.25,GWS,11,4:35PM,Spotless Stadium,2017
1381,-5.5,1.74,Richmond,36100,3/6/17,Saturday,9400,5.5,2.1,North Melbourne,11,7:25PM,Etihad Stadium,2017
1382,2.5,2,Collingwood,34259,4/6/17,Sunday,9401,-2.5,1.83,Fremantle,11,2:40PM,Domain Stadium,2017
1383,7.5,2.15,Western Bulldogs,20692,8/6/17,Thursday,9402,-7.5,1.73,Sydney,12,7:20PM,SCG,2017
1384,37.5,4.95,St Kilda,46082,9/6/17,Friday,9403,-37.5,1.18,Adelaide,12,7:20PM,Adelaide Oval,2017
1385,7.5,2.3,Gold Coast,27392,10/6/17,Saturday,9404,-7.5,1.62,Hawthorn,12,1:45PM,MCG,2017
1386,-17.5,1.39,Fremantle,11742,10/6/17,Saturday,9405,17.5,3.05,Brisbane,12,4:35PM,Gabba,2017
1387,-18.5,1.44,Port Adelaide,34022,10/6/17,Saturday,9406,18.5,2.8,Essendon,12,7:25PM,Etihad Stadium,2017
1388,-29.5,1.2,GWS,23194,11/6/17,Sunday,9407,29.5,4.6,Carlton,12,3:20PM,Etihad Stadium,2017
