,AFLfantasy,Supercoach,behinds,disposals,freesAgainst,freesFor,gameID,goals,handballs,hitouts,homeAway,i50s,kicks,marks,name,tackles
43801,44,48,0,7,0,1,6085,1,5,0,Home,1,2,3,Kayne Turner,3
43802,116,116,0,41,1,0,6085,0,30,0,Away,4,11,6,Jimmy Bartel,2
43803,103,103,0,26,5,3,6085,1,16,1,Away,4,10,2,Joel Selwood,10
43804,85,90,1,26,1,0,6085,0,17,1,Away,1,9,3,Cameron Guthrie,4
43805,75,73,0,21,0,1,6085,0,10,0,Away,5,11,3,Corey Enright,3
43806,96,91,0,21,0,1,6085,2,7,0,Away,3,14,5,Andrew Mackie,3
43807,95,88,0,20,1,1,6085,2,4,0,Away,6,16,7,Steve Johnson,2
43808,92,66,1,20,1,0,6085,0,10,1,Away,4,10,5,Josh Caddy,7
43809,96,106,0,20,0,2,6085,2,10,0,Away,3,10,4,Jordan Murdoch,5
43810,59,83,0,17,3,1,6085,0,9,0,Away,0,8,3,Harry Taylor,4
43811,93,87,1,16,0,0,6085,0,13,11,Away,2,3,2,Mark Blicavs,10
43812,53,56,1,16,1,0,6085,0,6,0,Away,6,10,3,Darcy Lang,1
43813,47,50,0,14,2,0,6085,0,7,0,Away,2,7,2,Jackson Thurlow,3
43814,74,73,1,13,0,2,6085,1,2,0,Away,3,11,8,Tom Hawkins,1
43815,44,50,2,13,1,0,6085,0,8,0,Away,2,5,2,Cory Gregson,2
43816,61,67,0,11,2,0,6085,0,7,0,Away,0,4,7,Jared Rivers,5
43817,60,57,1,10,0,2,6085,0,8,0,Away,1,2,1,James Kelly,8
43818,39,38,0,10,1,0,6085,0,5,0,Away,2,5,3,Tom Lonergan,2
43819,47,41,1,10,2,0,6085,0,7,0,Away,1,3,3,Steven Motlop,5
43820,57,42,1,9,2,0,6085,2,6,1,Away,0,3,4,Joshua Walker,4
43821,30,35,0,8,0,0,6085,0,6,0,Away,0,2,0,Jed Bews,3
43822,29,45,0,5,0,0,6085,1,4,0,Away,2,1,0,Mathew Stokes,3
