,awayline,awayodds,awayteam,date,gameID,homeline,homeodds,hometeam,round,time
185,5.5,2.09,West Coast,2011-07-16,5274,-5.5,1.78,St Kilda,17,7:10PM
186,27.5,4.15,Port Adelaide,2011-07-16,5275,-27.5,1.25,Melbourne,17,8:10PM
187,24.5,3.8,Fremantle,2011-07-17,5276,-24.5,1.27,Sydney,17,1:10PM
188,-41.5,1.08,Geelong,2011-07-17,5277,41.5,8.05,Brisbane,17,2:10PM
189,-17.5,1.39,Western Bulldogs,2011-07-17,5278,17.5,3.0,North Melbourne,17,4:40PM
190,38.5,7.05,Adelaide,2011-07-22,5279,-38.5,1.1,St Kilda,18,7:40PM
191,40.5,6.35,Brisbane,2011-07-23,5280,-40.5,1.12,North Melbourne,18,2:10PM
192,11.5,2.57,Western Bulldogs,2011-07-23,5281,-11.5,1.51,Sydney,18,2:10PM
193,-77.5,1.02,Collingwood,2011-07-23,5282,77.5,16.75,Gold Coast,18,7:10PM
194,-16.5,1.41,Carlton,2011-07-23,5283,16.5,3.0,Essendon,18,7:10PM
195,46.5,8.65,Richmond,2011-07-24,5284,-46.5,1.07,Geelong,18,1:10PM
196,-27.5,1.22,Hawthorn,2011-07-24,5285,27.5,4.3,Melbourne,18,2:10PM
197,-14.5,1.47,West Coast,2011-07-24,5286,14.5,2.7,Fremantle,18,2:40PM
198,-22.5,1.28,Carlton,2011-07-29,5287,22.5,3.75,North Melbourne,19,7:40PM
199,-8.5,1.62,West Coast,2011-07-30,5288,8.5,2.31,Western Bulldogs,19,2:10PM
200,45.5,8.65,Melbourne,2011-07-30,5289,-45.5,1.07,Geelong,19,2:10PM
201,-41.5,1.1,St Kilda,2011-07-30,5290,41.5,7.6,Gold Coast,19,7:10PM
202,-12.5,1.57,Hawthorn,2011-07-30,5291,12.5,2.48,Fremantle,19,5:40PM
203,46.5,8.65,Essendon,2011-07-31,5292,-46.5,1.07,Collingwood,19,2:10PM
204,7.5,2.27,Port Adelaide,2011-07-31,5293,-7.5,1.64,Adelaide,19,4:10PM
205,36.5,6.35,Fremantle,2011-08-05,5294,-36.5,1.12,St Kilda,20,7:40PM
206,41.5,6.7,Melbourne,2011-08-06,5295,-41.5,1.11,Carlton,20,2:10PM
207,89.5,16.5,Gold Coast,2011-08-06,5296,-89.5,1.01,Geelong,20,2:10PM
208,0.0,1.93,Sydney,2011-08-06,5297,0.0,1.91,Essendon,20,7:10PM
209,-70.5,1.01,Collingwood,2011-08-06,5298,70.5,20.0,Port Adelaide,20,7:10PM
210,6.5,2.21,Adelaide,2011-08-07,5299,-6.5,1.67,Brisbane,20,1:10PM
